city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Tarawa,1.3382,173.0176,Kiribati,KI,,primary,28802,28802
Betio,1.35,172.9333,Kiribati,KI,,,17356,17356
Bikenibeu,1.367,173.126,Kiribati,KI,,,6568,6568
Teaoraereke,1.3342,173.0139,Kiribati,KI,,,6073,6073
Bairiki,1.3256,172.9833,Kiribati,KI,,,3524,3524
London,1.9833,-157.475,Kiribati,KI,,,1899,1899
Roreti,-2.65,176.8333,Kiribati,KI,,,853,853
Poland,1.8644,-157.5519,Kiribati,KI,,,404,404
Taburao,1.8167,173.0167,Kiribati,KI,,,322,322
Koinawa,1.8667,172.9833,Kiribati,KI,,,312,312
Taku,-1.5167,175.0667,Kiribati,KI,,,151,151
Tabiauea,0.9278,173.0281,Kiribati,KI,,,147,147
Korobu,1.3426,173.0287,Kiribati,KI,,,,
Eita,1.3606,173.0745,Kiribati,KI,,,,
Antenon,1.3392,173.0235,Kiribati,KI,,,,
Taborio,1.3562,173.0532,Kiribati,KI,,,,
Bangantebure,1.3649,173.0975,Kiribati,KI,,,,
Antebuka,1.3414,173.0267,Kiribati,KI,,,,
Antemai,1.3389,173.0267,Kiribati,KI,,,,
Abarao,1.3646,173.0887,Kiribati,KI,,,,
Tangintebu,1.3577,173.0668,Kiribati,KI,,,,
Bonriki,1.3722,173.1525,Kiribati,KI,,,,
Ambo,1.352,173.0421,Kiribati,KI,,,,
Nuotaea,1.888,172.8132,Kiribati,KI,,,,
Temaiku,1.3639,173.1617,Kiribati,KI,,,,
Buota,1.3893,173.1322,Kiribati,KI,,,,
Rawannawi,2.0517,173.2628,Kiribati,KI,,,,
Tanaea,1.3882,173.134,Kiribati,KI,,,,
Tabiteuea,1.4242,173.0989,Kiribati,KI,,,,
Nabeina,1.4361,173.078,Kiribati,KI,,,,
Notoue,1.5156,173.0077,Kiribati,KI,,,,
Bakaka,-2.4938,175.9739,Kiribati,KI,,,,
Abaokoro,1.4906,173.0256,Kiribati,KI,,,,
Tabonibara,1.4796,173.0301,Kiribati,KI,,,,
Kuria,1.8313,173.012,Kiribati,KI,,,,
Abatao,1.3999,173.1189,Kiribati,KI,,,,
Temotu,2.0355,173.2582,Kiribati,KI,,,,
Taborio,1.5,173.0167,Kiribati,KI,,,,
Buoata,2.0154,173.2601,Kiribati,KI,,,,
Tekuanga,2.03,173.2853,Kiribati,KI,,,,
Tebikerai,1,173,Kiribati,KI,,,,
Tabwiroa,1.8056,173.0372,Kiribati,KI,,,,
Tetabuki,1.9999,173.2541,Kiribati,KI,,,,
Tekarakan,1.9936,173.2521,Kiribati,KI,,,,
Aonobuaka,1.8833,172.9833,Kiribati,KI,,,,
Tuarabu,1.7981,173.0389,Kiribati,KI,,,,
Kainaba,1.4542,173.0607,Kiribati,KI,,,,
Tanimaiaki,1.7559,173.0421,Kiribati,KI,,,,
Tekaranga,1.0017,173.0294,Kiribati,KI,,,,
Tematantongo,1.0006,173.0333,Kiribati,KI,,,,
Takarano,1.95,172.9167,Kiribati,KI,,,,
Autokia,-1.3,175.9667,Kiribati,KI,,,,
Kariri,-1.3,175.9667,Kiribati,KI,,,,
Buota,1.7838,173.0446,Kiribati,KI,,,,
Antakana,3.3174,172.9763,Kiribati,KI,,,,
Banana Village,1.9837,-157.3651,Kiribati,KI,,,,
Marenanuka,1.4882,173.0261,Kiribati,KI,,,,
Taratai,1.5485,172.9927,Kiribati,KI,,,,
Bainona,1.9863,173.298,Kiribati,KI,,,,
Tebanga,1.7154,173.0063,Kiribati,KI,,,,
Antai,2.0379,173.282,Kiribati,KI,,,,
Ijaki,-1.9167,175.5833,Kiribati,KI,,,,
Tabontebike,1.7167,172.9833,Kiribati,KI,,,,
Buraitan,-1.8262,175.5561,Kiribati,KI,,,,
Norauea,1.9998,173.2923,Kiribati,KI,,,,
Ukiangang,3.05,172.7667,Kiribati,KI,,,,
Nikutoru,-1.4833,175.0667,Kiribati,KI,,,,
Buariki,-1.4833,175.0667,Kiribati,KI,,,,
Tabutoa,-1.3333,176.4333,Kiribati,KI,,,,
Tokamauea,0.491,173.8316,Kiribati,KI,,,,
Muribenua,-1.3167,176.4167,Kiribati,KI,,,,
Abatiku,0.3884,173.777,Kiribati,KI,,,,
Nikumanu,-1.3833,176.4667,Kiribati,KI,,,,
Terokea,1.9827,173.3007,Kiribati,KI,,,,
Tabiang,-1.3,175.9833,Kiribati,KI,,,,
Aoniman,-1.3,175.9833,Kiribati,KI,,,,
Tabomatang,-1.4,176.4833,Kiribati,KI,,,,
Tekatirirake,0.4667,173.8667,Kiribati,KI,,,,
Tearinibai,1.5667,172.9667,Kiribati,KI,,,,
Taribo,-2.6333,176.8167,Kiribati,KI,,,,
Tamaroa,-2.6333,176.8167,Kiribati,KI,,,,
Naimoa,-2.6333,176.8167,Kiribati,KI,,,,
Taritai,1.5193,173.0134,Kiribati,KI,,,,
